           1   4.12028742    
 0.1120482	 0.03903412
 0.1760597	 0.04776785
 0.0138137	 0.01381370
 0.0292187	 0.02921867
 0.0326208	 0.02210204
 0.0195920	 0.01959197
 0.0401042	 0.04010425
 0.0626956	 0.03806373
 0.0381170	 0.02656661
 0.5848668	 0.32154846
 0.3572806	 0.09241146
 0.2228175	 0.08244942
 0.2551584	 0.18497437
 0.0228638	 0.02286376
 0.2638272	 0.18343683
 0.0917747	 0.02225609
 0.3388537	 0.08217771
 0.3843665	 0.14433268
 0.0538338	 0.03939623
 0.1264980	 0.12649800
 0.0461553	 0.01497743
 0.0152589	 0.01365475
 0.0109182	 0.00725608
Max_Eigen_Value for 'Conference Selection ' =  MEV =   1.40545201     MD-F =  0.711514890    
