53	1.0	0.02
0	0	0

5	1	0	-1
6	1	0	-1
7	1	0	1
8	1	0	1
9	1	0	1
10	1	0	1
10	2	0	1
11	2	0	1
12	3	0	1
13	3	0	1
14	3	0	1
15	4	0	1
16	6	0	1
16	7	0	-1
16	8	0	-1
17	8	0	-1
18	8	0	-1
19	8	0	-1
19	9	0	-1
19	10	0	-1
20	8	0	-1
20	9	0	-1
20	10	0	-1
21	9	0	1
22	9	0	1
22	10	0	1
23	10	0	1
24	10	0	1
25	10	0	1
26	10	0	1
27	10	0	-1
28	12	0	-1
29	12	0	-1
29	14	0	-1
30	15	0	-1
31	20	0	-1
32	10	0	1
33	26	0	-1
34	27	0	-1
35	27	0	-1
36	11	0	-1
36	12	0	-1
37	13	0	-1
37	28	0	1
37	29	0	1
38	8	0	1
38	9	0	1
38	18	0	1
38	20	0	-1
39	23	0	1
39	43	0	1
40	37	0	1
41	29	0	-1
41	37	0	-1
43	39	0	-1
45	10	0	1
45	20	0	-1
46	44	0	-1
46	45	0	1
47	8	0	-1
47	9	0	-1
47	12	0	-1
47	14	0	-1
47	30	0	1
47	45	0	-1
48	10	0	1
48	45	0	1
49	5	0	-1
49	6	0	-1
49	16	0	-1
49	44	0	-1
49	46	0	1
50	44	0	-1
50	46	0	1
51	45	0	-1
52	45	0	-1
53	47	0	1
